Status,FigmaText,FigmaName,FigmaId,DomTag,IssueProp,Expected,Actual,IssueMessage,ScreenshotPath
DIFFERENT,CS — Ticket System,CS — Ticket System,4:2083,div,width,750,830.875,"Width mismatch: expected 750px, got 830.875px",artifacts/issue-shots/issue-4-2083.png
DIFFERENT,CS — Ticket System,CS — Ticket System,4:2083,div,height,26,36,"Height mismatch: expected 26px, got 36px",artifacts/issue-shots/issue-4-2083.png
DIFFERENT,CS — Ticket System,CS — Ticket System,4:2083,div,fontSize,24,16,"Font size mismatch: expected 24px, got 16px",artifacts/issue-shots/issue-4-2083.png
DIFFERENT,Home,Course Details,41:48,button,width,45,42.890625,"Width mismatch: expected 45px, got 42.890625px",artifacts/issue-shots/issue-41-48.png
DIFFERENT,FAQ,Blog,41:49,button,width,31,29.265625,"Width mismatch: expected 31px, got 29.265625px",artifacts/issue-shots/issue-41-49.png
DIFFERENT,Changelog,My Classess,41:50,button,width,82,76.625,"Width mismatch: expected 82px, got 76.625px",artifacts/issue-shots/issue-41-50.png
DIFFERENT,Blog,My Classess,41:51,button,width,34,31.84375,"Width mismatch: expected 34px, got 31.84375px",artifacts/issue-shots/issue-41-51.png
DIFFERENT,Download,My Classess,41:52,button,width,76,72.03125,"Width mismatch: expected 76px, got 72.03125px",artifacts/issue-shots/issue-41-52.png
DIFFERENT,Contact,My Classess,41:70,button,width,61,54.71875,"Width mismatch: expected 61px, got 54.71875px",artifacts/issue-shots/issue-41-70.png
MISSING_IN_DOM,New Ticket,Enroll Now_2,41:68,,,,,Text exists in Figma but not found on page,
DIFFERENT,In-Progress,In-Progress,4:2227,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-4-2227.png
DIFFERENT,In-Progress,In-Progress,4:2227,p,height,26,32,"Height mismatch: expected 26px, got 32px",artifacts/issue-shots/issue-4-2227.png
DIFFERENT,0,0,4:2226,p,width,628,129.125,"Width mismatch: expected 628px, got 129.125px",artifacts/issue-shots/issue-4-2226.png
DIFFERENT,0,0,4:2226,p,height,73,32,"Height mismatch: expected 73px, got 32px",artifacts/issue-shots/issue-4-2226.png
DIFFERENT,0,0,4:2226,p,fontSize,60,24,"Font size mismatch: expected 60px, got 24px",artifacts/issue-shots/issue-4-2226.png
